match_id,team_id,team_won,rank_diff
EUW1_7308734106,100,1,0.0
EUW1_7308734106,200,0,0.0
EUW1_7325575527,100,1,0.0
EUW1_7325575527,200,0,0.0
EUW1_7376306420,100,1,0.0
EUW1_7376306420,200,0,0.0
EUW1_7580339110,100,0,1.0
EUW1_7580339110,200,1,-1.0
EUW1_7589681681,100,0,0.0
EUW1_7589681681,200,1,0.0
EUW1_7592105798,100,1,0.0
EUW1_7592105798,200,0,0.0
EUW1_7596019844,100,0,0.0
EUW1_7596019844,200,1,0.0
EUW1_7596626580,100,1,0.0
EUW1_7596626580,200,0,0.0
EUW1_7600369560,100,0,0.0
EUW1_7600369560,200,1,0.0
EUW1_7607598032,100,1,0.0
EUW1_7607598032,200,0,0.0
EUW1_7611619331,100,0,0.0
EUW1_7611619331,200,1,0.0
EUW1_7621190876,100,1,0.0
EUW1_7621190876,200,0,0.0
EUW1_7622060136,100,0,0.0
EUW1_7622060136,200,1,0.0
EUW1_7622657109,100,1,0.0
EUW1_7622657109,200,0,0.0
EUW1_7625621629,100,1,1.0
EUW1_7625621629,200,0,-1.0
EUW1_7647111702,100,1,1.0
EUW1_7647111702,200,0,-1.0
EUW1_7649043183,100,1,0.0
EUW1_7649043183,200,0,0.0
EUW1_7652113316,100,1,0.0
EUW1_7652113316,200,0,0.0
EUW1_7662096064,100,0,0.0
EUW1_7662096064,200,1,0.0
EUW1_7662198641,100,1,0.0
EUW1_7662198641,200,0,0.0
EUW1_7667182631,100,0,0.0
EUW1_7667182631,200,1,0.0
EUW1_7667375211,100,1,0.0
EUW1_7667375211,200,0,0.0
EUW1_7669216555,100,1,1.0
EUW1_7669216555,200,0,-1.0
EUW1_7671745129,100,1,0.0
EUW1_7671745129,200,0,0.0
EUW1_7673999568,100,0,0.0
EUW1_7673999568,200,1,0.0
EUW1_7676167336,100,1,1.0
EUW1_7676167336,200,0,-1.0
EUW1_7677530670,100,1,0.0
EUW1_7677530670,200,0,0.0
EUW1_7678523234,100,1,0.0
EUW1_7678523234,200,0,0.0
EUW1_7678997755,100,0,-1.0
EUW1_7678997755,200,1,1.0
EUW1_7679578240,100,0,1.0
EUW1_7679578240,200,1,-1.0
EUW1_7680210504,100,1,1.0
EUW1_7680210504,200,0,-1.0
EUW1_7680427942,100,1,0.0
EUW1_7680427942,200,0,0.0
EUW1_7680996529,100,0,-1.0
EUW1_7680996529,200,1,1.0
EUW1_7681138620,100,1,1.0
EUW1_7681138620,200,0,-1.0
EUW1_7682088204,100,1,0.0
EUW1_7682088204,200,0,0.0
EUW1_7682928630,100,1,0.0
EUW1_7682928630,200,0,0.0
EUW1_7683456605,100,0,0.0
EUW1_7683456605,200,1,0.0
EUW1_7683756810,100,1,0.0
EUW1_7683756810,200,0,0.0
EUW1_7684817723,100,0,1.0
EUW1_7684817723,200,1,-1.0
EUW1_7685311321,100,0,0.0
EUW1_7685311321,200,1,0.0
EUW1_7685312540,100,0,0.0
EUW1_7685312540,200,1,0.0
EUW1_7686564826,100,1,-1.0
EUW1_7686564826,200,0,1.0
EUW1_7686689457,100,1,-1.0
EUW1_7686689457,200,0,1.0
EUW1_7687234782,100,1,0.0
EUW1_7687234782,200,0,0.0
EUW1_7687431867,100,1,1.0
EUW1_7687431867,200,0,-1.0
EUW1_7687706875,100,1,1.0
EUW1_7687706875,200,0,-1.0
EUW1_7688120863,100,1,0.0
EUW1_7688120863,200,0,0.0
EUW1_7688314917,100,0,0.0
EUW1_7688314917,200,1,0.0
EUW1_7688443693,100,0,0.0
EUW1_7688443693,200,1,0.0
EUW1_7688645022,100,0,0.0
EUW1_7688645022,200,1,0.0
EUW1_7688769349,100,0,0.0
EUW1_7688769349,200,1,0.0
EUW1_7688893140,100,1,-2.0
EUW1_7688893140,200,0,2.0
EUW1_7689054230,100,0,0.0
EUW1_7689054230,200,1,0.0
EUW1_7689155238,100,1,0.0
EUW1_7689155238,200,0,0.0
EUW1_7689311598,100,1,0.0
EUW1_7689311598,200,0,0.0
EUW1_7689343633,100,1,2.0
EUW1_7689343633,200,0,-2.0
EUW1_7689421876,100,0,0.0
EUW1_7689421876,200,1,0.0
EUW1_7689471713,100,0,0.0
EUW1_7689471713,200,1,0.0
EUW1_7689574953,100,0,0.0
EUW1_7689574953,200,1,0.0
EUW1_7689586239,100,0,0.0
EUW1_7689586239,200,1,0.0
EUW1_7689797612,100,0,0.0
EUW1_7689797612,200,1,0.0
EUW1_7689885323,100,1,2.0
EUW1_7689885323,200,0,-2.0
EUW1_7689968753,100,1,-2.0
EUW1_7689968753,200,0,2.0
EUW1_7690038339,100,1,2.0
EUW1_7690038339,200,0,-2.0
EUW1_7690061426,100,1,0.0
EUW1_7690061426,200,0,0.0
EUW1_7690091321,100,0,1.0
EUW1_7690091321,200,1,-1.0
EUW1_7690093409,100,0,0.0
EUW1_7690093409,200,1,0.0
EUW1_7690149942,100,0,0.0
EUW1_7690149942,200,1,0.0
EUW1_7690246652,100,1,0.0
EUW1_7690246652,200,0,0.0
EUW1_7690290978,100,0,-2.0
EUW1_7690290978,200,1,2.0
EUW1_7690308680,100,0,0.0
EUW1_7690308680,200,1,0.0
EUW1_7690318468,100,1,2.0
EUW1_7690318468,200,0,-2.0
EUW1_7690415517,100,1,-2.0
EUW1_7690415517,200,0,2.0
EUW1_7690468687,100,0,-2.0
EUW1_7690468687,200,1,2.0
EUW1_7690604431,100,1,0.0
EUW1_7690604431,200,0,0.0
EUW1_7690692122,100,0,1.0
EUW1_7690692122,200,1,-1.0
EUW1_7690753070,100,0,-1.0
EUW1_7690753070,200,1,1.0
EUW1_7690768151,100,0,0.0
EUW1_7690768151,200,1,0.0
EUW1_7690825878,100,0,0.0
EUW1_7690825878,200,1,0.0
EUW1_7690841051,100,0,0.0
EUW1_7690841051,200,1,0.0
EUW1_7690887148,100,0,0.0
EUW1_7690887148,200,1,0.0
EUW1_7690889076,100,0,0.0
EUW1_7690889076,200,1,0.0
EUW1_7690957433,100,0,1.0
EUW1_7690957433,200,1,-1.0
EUW1_7690958213,100,0,0.0
EUW1_7690958213,200,1,0.0
EUW1_7690979780,100,0,0.0
EUW1_7690979780,200,1,0.0
EUW1_7691078276,100,1,0.0
EUW1_7691078276,200,0,0.0
EUW1_7691144749,100,1,0.0
EUW1_7691144749,200,0,0.0
EUW1_7691219650,100,0,0.0
EUW1_7691219650,200,1,0.0
EUW1_7691231887,100,1,0.0
EUW1_7691231887,200,0,0.0
EUW1_7691244145,100,1,0.0
EUW1_7691244145,200,0,0.0
EUW1_7691257372,100,0,0.0
EUW1_7691257372,200,1,0.0
EUW1_7691276162,100,0,1.0
EUW1_7691276162,200,1,-1.0
EUW1_7691308236,100,0,0.0
EUW1_7691308236,200,1,0.0
EUW1_7691308982,100,0,0.0
EUW1_7691308982,200,1,0.0
EUW1_7691310854,100,1,0.0
EUW1_7691310854,200,0,0.0
EUW1_7691340648,100,0,2.0
EUW1_7691340648,200,1,-2.0
EUW1_7691474633,100,0,-2.0
EUW1_7691474633,200,1,2.0
EUW1_7691518535,100,0,2.0
EUW1_7691518535,200,1,-2.0
EUW1_7691652628,100,1,0.0
EUW1_7691652628,200,0,0.0
EUW1_7691662982,100,1,0.0
EUW1_7691662982,200,0,0.0
EUW1_7691674600,100,1,0.0
EUW1_7691674600,200,0,0.0
EUW1_7691736597,100,1,2.0
EUW1_7691736597,200,0,-2.0
EUW1_7691805680,100,1,0.0
EUW1_7691805680,200,0,0.0
EUW1_7691833872,100,1,0.0
EUW1_7691833872,200,0,0.0
EUW1_7691893176,100,1,0.0
EUW1_7691893176,200,0,0.0
EUW1_7691901343,100,0,-2.0
EUW1_7691901343,200,1,2.0
EUW1_7691926850,100,1,0.0
EUW1_7691926850,200,0,0.0
EUW1_7691942691,100,1,-2.0
EUW1_7691942691,200,0,2.0
EUW1_7691957563,100,0,0.0
EUW1_7691957563,200,1,0.0
EUW1_7691971997,100,0,0.0
EUW1_7691971997,200,1,0.0
EUW1_7691988710,100,1,0.0
EUW1_7691988710,200,0,0.0
EUW1_7692025207,100,0,0.0
EUW1_7692025207,200,1,0.0
EUW1_7692030014,100,1,0.0
EUW1_7692030014,200,0,0.0
EUW1_7692060574,100,1,0.0
EUW1_7692060574,200,0,0.0
EUW1_7692083276,100,1,0.0
EUW1_7692083276,200,0,0.0
EUW1_7692108918,100,0,0.0
