"row_id","truth_delta_winrate","predicted_delta_winrate","abs_error"
1,0.1,0.0842580497264862,0.0157419502735138
2,0.4,0.358051121234894,0.0419488787651061
3,0.4,0.311310768127441,0.0886892318725585
4,-0.0999999999999999,-0.091124102473259,0.00887589752674092
5,-0.0999999999999999,-0.108312211930752,0.00831221193075191
6,-0.6,-0.611573457717896,0.0115734577178954
7,-0.2,-0.144925311207771,0.0550746887922286
8,-0.2,-0.186673030257225,0.013326969742775
9,-0.6,-0.554145276546478,0.0458547234535218
10,0,0.00536013254895806,0.00536013254895806
11,-0.5,-0.452011227607727,0.0479887723922728
12,-0.0999999999999999,-0.0704859867691994,0.0295140132308005
13,-0.3,-0.265771150588989,0.0342288494110107
14,0.2,0.182060718536377,0.0179392814636231
15,-0.0999999999999999,-0.101946040987968,0.00194604098796855
16,-0.3,-0.283494472503662,0.0165055274963379
17,0.2,0.0904029086232185,0.109597091376781
18,-0.0999999999999999,-0.134305164217949,0.034305164217949
19,0.2,0.131407260894775,0.0685927391052245
20,-0.2,-0.148682400584221,0.051317599415779
21,-0.3,-0.225547805428505,0.074452194571495
22,0.2,0.188041523098946,0.0119584769010543
23,0.2,0.164111867547035,0.0358881324529648
24,-0.2,-0.217933848500252,0.0179338485002519
25,0.0999999999999999,0.0152985323220491,0.0847014676779508
26,0,-0.0398257002234459,0.0398257002234459
27,-0.0999999999999999,-0.118573501706123,0.0185735017061235
28,0,-0.00404744688421488,0.00404744688421488
29,0.2,0.170988261699677,0.0290117383003234
30,0.2,0.103607967495918,0.0963920325040816
