"row_id","truth","predicted_label","win_probability"
1,0,0,0.0168833285570145
2,1,1,0.960653185844421
3,1,1,0.970601260662079
4,0,0,0.0198528729379177
5,1,1,0.846465289592743
6,0,0,0.279504656791687
7,1,1,0.970425426959991
8,0,0,0.0626727491617203
9,1,1,0.953004777431488
10,0,0,0.0476303361356258
11,0,0,0.0204827189445496
12,1,1,0.686796009540558
13,1,1,0.832585453987122
14,0,0,0.178960517048836
15,1,1,0.939816534519196
16,0,0,0.0191875584423542
17,0,0,0.0184122156351805
18,1,1,0.961409211158752
19,1,1,0.96315586566925
20,0,0,0.0702255368232727
21,1,1,0.982298851013184
22,0,0,0.00125521305017173
23,1,1,0.967979848384857
24,0,0,0.148892745375633
25,0,0,0.0491423979401588
26,1,1,0.962653279304504
27,1,1,0.82485020160675
28,0,0,0.00143171823583543
29,0,0,0.121928378939629
30,1,1,0.961578071117401
