"row_id","truth_is_anomaly","predicted_is_anomaly","predicted_label","anomaly_score"
1,0,0,0,0.00139739003498107
2,0,0,0,0.00703691272065043
3,1,1,1,0.927759885787964
4,0,0,0,0.000430464337114245
5,0,0,0,0.000381021585781127
6,1,1,1,0.961981356143951
7,1,1,1,0.992260754108429
8,0,0,0,0.00546733243390918
9,0,0,0,0.00348146329633892
10,1,1,1,0.972598671913147
11,0,0,0,0.000855515361763537
12,0,0,0,0.0245979763567448
13,0,0,0,0.0110136959701777
14,0,0,0,0.00142925186082721
15,0,0,0,0.000850876967888325
16,0,0,0,0.00189137156121433
17,0,0,0,0.00498415855690837
18,0,0,0,0.000448198115918785
19,0,0,0,0.0647461861371994
20,0,0,0,0.000467712205136195
21,0,0,0,0.00082323036622256
22,0,0,0,0.00439397385343909
23,0,0,0,0.000433902547229081
24,0,0,0,0.00714676361531019
25,0,0,0,0.000648515066131949
26,0,0,0,0.00856351479887962
27,0,0,0,0.0024535262491554
28,0,0,0,0.00192061811685562
29,0,0,0,0.000570597650948912
30,0,0,0,0.010803584009409
